Country,Year,Total Population (Number),Resident Population (Number),Singapore Citizen Population (Number),Permanent Resident Population (Number),Non-Resident Population (Number),Total Population Growth (Per Cent),Resident Population Growth (Per Cent),Population Density (Total Population Per Square Kilometre),Sex Ratio (Males Per Thousand Females),Median Age Of Resident Population (Years),Median Age Of Citizen Population (Years),Old-Age Support Ratio: Residents Aged 15-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio: Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years (Number),Child Dependency Ratio: Residents Aged Under 15 Years Per Hundred Residents Aged 15-64 Years (Number),Old-Age Dependency Ratio: Residents Aged 65 Years & Over Per Hundred Residents Aged 15-64 Years (Number),Old-Age Support Ratio: Residents Aged 20-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio: Residents Aged Under 20 Years And 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Child Dependency Ratio: Residents Aged Under 20 Years Per Hundred Residents Aged 20-64 Years (Number),Old-Age Dependency Ratio: Residents Aged 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Old-Age Support Ratio: Citizens Aged 15-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio: Citizens Aged Under 15 Years And 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Child Dependency Ratio: Citizens Aged Under 15 Years Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Dependency Ratio: Citizens Aged 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Support Ratio: Citizens Aged 20-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio: Citizens Aged Under 20 Years And 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Child Dependency Ratio: Citizens Aged Under 20 Years Per Hundred Citizens Aged 20-64 Years (Number),Old-Age Dependency Ratio: Citizens Aged 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Resident Natural Increase (Number),Rate Of Natural Increase (Per Thousand Residents)
Sinagpore,2023,"5,917,648","4,149,253","3,610,658","538,595","1,768,395",5,1.9,"8,058",950,42.4,43,4,45.6,20.4,25.2,3.7,57.2,30,27.2,3.5,51.1,22.3,28.9,3.2,63.9,32.6,31.3,"4,951",1.2
Sinagpore,2022,"5,637,022","4,073,239","3,553,749","519,490","1,563,783",3.4,2.2,"7,688",955,42.1,42.8,4.1,44.8,20.7,24.1,3.8,56.3,30.3,26,3.6,50,22.4,27.6,3.3,62.7,32.8,29.9,"6,704",1.6
Sinagpore,2021,"5,453,566","3,986,842","3,498,191","488,651","1,466,724",-4.1,-1.4,"7,485",960,41.8,42.5,4.3,43.9,20.8,23.1,4,55.4,30.5,24.9,3.8,48.7,22.5,26.2,3.5,61.4,33,28.5,"10,913",2.7
Sinagpore,2020,"5,685,807","4,044,210","3,523,191","521,019","1,641,597",-0.3,0.4,"7,810",957,41.5,42.2,4.6,42.3,20.7,21.6,4.3,54,30.6,23.4,4.1,46.8,22.2,24.6,3.7,59.7,32.9,26.8,"13,248",3.3
Sinagpore,2019,"5,703,569","4,026,209","3,500,940","525,269","1,677,360",1.2,0.8,"7,866",957,41.1,42,4.9,41.1,20.7,20.4,4.5,53,30.9,22.1,4.3,45.2,22,23.2,4,58.4,33.1,25.3,"15,042",3.7
Sinagpore,2018,"5,638,676","3,994,283","3,471,936","522,347","1,644,393",0.5,0.7,"7,804",959,40.8,41.7,5.2,39.9,20.7,19.2,4.8,51.9,31.1,20.8,4.6,43.7,21.9,21.8,4.2,57,33.2,23.8,"14,945",3.7
Sinagpore,2017,"5,612,253","3,965,796","3,439,177","526,619","1,646,457",0.1,0.8,"7,796",961,40.5,41.3,5.5,38.9,20.8,18.1,5.1,51.3,31.6,19.7,4.9,42.5,21.9,20.6,4.4,56.2,33.7,22.6,"15,681",4
Sinagpore,2016,"5,607,283","3,933,559","3,408,943","524,616","1,673,724",1.3,0.8,"7,797",963,40,41,5.8,38,20.9,17.1,5.4,50.7,32,18.7,5.1,41.3,21.9,19.4,4.7,55.5,34.1,21.4,"18,019",4.6
Sinagpore,2015,"5,535,002","3,902,690","3,375,023","527,667","1,632,312",1.2,0.8,"7,697",965,39.6,40.7,6.2,37.4,21.2,16.2,5.7,50.2,32.5,17.7,5.4,40.6,22.2,18.4,4.9,54.9,34.7,20.3,"19,221",4.9
Sinagpore,2014,"5,469,724","3,870,739","3,343,030","527,709","1,598,985",1.3,0.7,"7,615",967,39.3,40.4,6.6,36.7,21.5,15.2,6,49.8,33.1,16.7,5.8,39.8,22.4,17.3,5.2,54.4,35.3,19.2,"19,730",5.1
Sinagpore,2013,"5,399,162","3,844,751","3,313,507","531,244","1,554,411",1.6,0.7,"7,540",968,38.9,40,7,36.1,21.8,14.3,6.4,49.6,33.9,15.7,6.1,39,22.7,16.3,5.5,54.1,36,18.1,"17,871",4.6
Sinagpore,2012,"5,312,437","3,818,205","3,285,140","533,065","1,494,232",2.5,0.8,"7,429",970,38.4,39.6,7.4,35.7,22.3,13.5,6.7,49.5,34.7,14.8,6.5,38.4,23.1,15.3,5.9,53.8,36.8,17,"21,368",5.6
Sinagpore,2011,"5,183,688","3,789,251","3,257,228","532,023","1,394,437",2.1,0.5,"7,273",972,38,39.1,7.9,35.3,22.7,12.6,7.2,49.2,35.4,13.9,7,37.9,23.6,14.3,6.3,53.6,37.6,16,"19,291",5.1
Sinagpore,2010,"5,076,732","3,771,721","3,230,719","541,002","1,305,011",1.8,1,"7,146",974,37.4,38.6,8.2,35.7,23.5,12.2,7.4,50,36.5,13.5,7.2,38.3,24.4,13.9,6.4,54.4,38.8,15.5,"18,653",4.9
Sinagpore,2009,"4,987,573","3,733,876","3,200,693","533,183","1,253,697",3.1,2.5,"7,025",976,36.9,38.2,8.3,36.5,24.4,12.1,7.5,51,37.6,13.3,7.3,39,25.2,13.8,6.5,55.3,39.9,15.4,"20,912",5.6
Sinagpore,2008,"4,839,396","3,642,659","3,164,438","478,221","1,196,737",5.5,1.7,"6,846",980,36.7,37.8,8.4,37.2,25.3,11.9,7.6,52.2,39,13.2,7.5,39.4,26,13.4,6.7,56.2,41.2,15,"21,115",5.8
Sinagpore,2007,"4,588,599","3,583,082","3,133,848","449,234","1,005,517",4.3,1.6,"6,552",982,36.4,37.5,8.5,37.9,26.1,11.8,7.7,53,40,13,7.6,40,26.8,13.2,6.8,57,42.2,14.8,"21,029",5.9
Sinagpore,2006,"4,401,365","3,525,894","3,107,924","417,970","875,471",3.2,1.7,"6,298",983,36.1,37,8.6,38.5,27,11.6,7.8,53.4,40.6,12.8,7.8,40.6,27.8,12.9,6.9,57.2,42.8,14.4,"20,858",5.9
Sinagpore,2005,"4,265,762","3,467,814","3,081,001","386,813","797,948",2.4,1.6,"6,121",985,35.8,36.6,8.9,39.1,27.9,11.2,8.1,53.6,41.2,12.4,8.1,41.1,28.8,12.4,7.2,57.2,43.4,13.8,"20,243",5.8
Sinagpore,2004,"4,166,664","3,413,266","3,057,087","356,179","753,398",1.3,1.4,"5,987",986,35.4,36.2,9.2,39.5,28.7,10.8,8.4,53.8,41.9,11.9,8.4,41.5,29.7,11.9,7.6,57.3,44.1,13.2,"20,210",5.9
Sinagpore,2003,"4,114,826","3,366,891","3,032,541","334,350","747,935",0.2,1.6,"5,939",988,35,35.7,9.7,40.2,29.8,10.4,8.8,53.9,42.5,11.4,8.8,42.2,30.9,11.3,8,57.2,44.7,12.5,"20,306",6
Sinagpore,2002,"4,175,950","3,382,944","3,043,397","339,547","793,006",0.9,1.7,"6,078",992,34.7,35.3,9.6,40.8,30.3,10.4,8.7,54.2,42.8,11.4,8.9,42.8,31.6,11.2,8.1,57.5,45.2,12.4,"23,647",7
Sinagpore,2001,"4,138,012","3,325,902","3,017,092","308,810","812,110",2.7,1.6,"6,065",995,34.4,34.8,9.7,41,30.7,10.3,8.8,54.9,43.5,11.3,9.1,42.9,31.9,11,8.2,58,45.9,12.1,"24,832",7.5
Sinagpore,2000,"4,027,887","3,273,363","2,985,886","287,477","754,524",1.7,1.4,"5,900",998,34,34.3,9.9,41.1,30.9,10.1,9,55.2,44,11.2,9.3,42.9,32.2,10.7,8.4,58.2,46.4,11.9,"30,050",9.2
