Category,Annual Mean,5-yr smooth
1901,1597.72,1532.4
1902,1509.18,1549.99
1903,1531.85,1566.54
1904,1569.1,1581.08
1905,1615.15,1592.48
1906,1520.51,1599.76
1907,1551.04,1602.07
1908,1753.55,1600.06
1909,1621.64,1595.24
1910,1738.86,1589.11
1911,1370.17,1583.17
1912,1549.94,1578.85
1913,1532.21,1576.53
1914,1546.09,1575.34
1915,1646.18,1574.37
1916,1704.36,1572.72
1917,1676.44,1569.49
1918,1481.33,1564.28
1919,1433.69,1557.79
1920,1461.19,1550.84
1921,1551.08,1544.29
1922,1518.92,1538.96
1923,1590.72,1535.47
1924,1598.21,1533.49
1925,1497.53,1532.45
1926,1660.46,1531.74
1927,1624.29,1530.77
1928,1464.94,1529.04
1929,1413.11,1527.19
1930,1451.65,1526.49
1931,1443.68,1528.26
1932,1551.57,1533.81
1933,1561.62,1544.34
1934,1664.87,1559.34
1935,1765.89,1576.19
1936,1427.96,1592.16
1937,1555.89,1604.43
1938,1796.82,1610.28
1939,1541.27,1608.59
1940,1358.86,1602.14
1941,1523.13,1594.33
1942,1882.74,1588.51
1943,1564.65,1588.04
1944,1592.61,1595.58
1945,1670.48,1609.87
1946,1527.84,1628.45
1947,1572.14,1648.86
1948,1651.66,1668.7
1949,1732.46,1685.45
1950,1716.47,1697.68
1951,1784.84,1704.46
1952,1658.73,1704.89
1953,1798.71,1698.06
1954,1577.97,1683.13
1955,1596.38,1661.34
1956,1752.64,1636.69
1957,1579.12,1613.53
1958,1483.59,1596.05
1959,1628.95,1588.47
1960,1553.6,1592.95
1961,1740.1,1605.83
1962,1586.14,1622.52
1963,1664.81,1638.43
1964,1689.46,1648.99
1965,1600.65,1650.46
1966,1762.56,1644.59
1967,1455.12,1635.09
1968,1472.85,1625.65
1969,1639.69,1620.02
1970,1867.78,1621.57
1971,1642.87,1629.07
1972,1555.46,1637.86
1973,1589.83,1643.1
1974,1681.47,1640.05
1975,1726.68,1624.01
1976,1598.93,1594.85
1977,1378.06,1559.59
1978,1623.1,1525.62
1979,1294.04,1500.35
1980,1669.85,1491.22
1981,1553.21,1502.2
1982,1504.89,1526.27
1983,1632.68,1554.39
1984,1504.35,1577.58
1985,1539.99,1586.65
1986,1497.08,1574.35
1987,1494.28,1545.22
1988,1744.1,1508.57
1989,1419.78,1474.07
1990,1529.3,1451.07
1991,1425.79,1448.52
1992,1370.1,1466.82
1993,1330.24,1498.93
1994,1653.44,1537.7
1995,1669.6,1575.98
1996,1754.71,1606.71
1997,1390.14,1625.8
1998,1520.52,1634.82
1999,1771.63,1635.74
2000,1760.17,1630.52
2001,1593.13,1621.15
2002,1645.98,1609.85
2003,1539.52,1599.64
2004,1438.8,1593.74
2005,1581.45,1595.39
2006,1714.52,1607.8
2007,1662.52,1633.23
2008,1712.79,1666.84
2009,1638.83,1700.03
2010,1637.71,1724.51
2011,1990.16,1731.88
2012,1538.85,1714.14
2013,1760.87,1673.71
2014,1472.06,1622.52
2015,1420.21,1572.9
2016,1600.27,1537.11
2017,1985.24,1527.64
2018,1573.64,1550.48
2019,1308.5,1600.2
2020,1541.5,1670.3
2021,1631.11,1753.66
2022,2066.47,1843.74
